Time (seconds),FPS
21.27,12.6
21.35,12.4
21.43,12.9
21.50,13.2
21.59,12.2
21.66,12.6
21.74,12.5
21.84,10.2
21.94,10.6
22.02,12.9
22.10,12.4
22.17,12.8
22.26,12.3
22.33,12.6
22.41,12.7
22.49,12.9
22.57,12.8
22.64,13.4
22.73,11.8
22.82,11.4
22.90,11.8
22.99,10.8
23.08,11.9
23.15,12.8
23.23,12.6
23.32,11.9
23.40,11.8
23.51,9.8
23.60,10.2
23.69,11.3
23.78,11.4
23.87,11.2
23.95,12.0
24.03,12.0
24.11,12.5
24.19,13.4
24.27,12.4
24.35,13.0
24.43,12.4
24.51,12.9
24.59,11.8
24.71,8.7
24.82,8.7
25.02,5.1
25.39,2.7
25.49,9.7
25.57,13.0
25.65,11.8
25.73,13.4
25.83,10.0
25.91,12.4
25.99,12.2
26.07,11.8
26.16,12.0
26.24,12.8
26.32,12.7
26.40,12.4
26.48,12.4
26.56,12.6
26.63,12.7
26.71,12.8
26.79,12.9
26.87,12.7
26.95,13.0
27.03,11.9
27.12,10.6
27.20,12.6
27.29,11.4
27.38,12.0
27.45,12.7
27.54,11.9
27.62,12.6
27.70,12.4
27.78,12.7
27.85,14.5
27.92,12.7
28.00,13.1
28.08,12.9
28.16,13.0
28.23,12.6
28.32,12.3
28.39,12.6
28.47,13.0
28.55,12.8
28.63,12.6
28.71,12.7
28.79,12.1
28.87,12.4
28.95,12.6
29.03,13.0
29.11,12.5
29.19,12.7
29.26,13.2
29.34,12.2
29.42,12.5
29.50,12.6
29.60,10.7
29.67,12.7
29.75,14.1
29.83,12.5
29.90,12.6
29.98,12.6
30.07,11.5
30.16,11.8
30.24,12.3
30.33,10.4
30.42,11.9
30.50,12.0
30.58,12.2
30.66,12.8
30.74,12.9
30.83,11.3
30.90,13.1
30.98,12.5
31.06,13.1
31.13,13.3
31.21,13.4
31.29,12.1
31.37,12.7
31.45,12.3
31.53,13.4
31.60,13.2
31.67,13.5
31.75,12.9
31.83,12.9
31.91,13.3
31.98,12.9
32.06,12.6
32.15,11.8
32.23,12.6
32.30,13.0
32.38,12.5
32.46,12.8
32.55,11.6
32.63,12.7
32.70,12.9
32.78,12.5
32.86,13.5
32.93,13.1
33.01,13.1
33.09,11.9
33.18,12.1
33.25,13.2
33.33,12.9
33.41,11.8
33.49,12.6
33.59,10.2
33.68,11.5
33.76,12.5
33.84,12.1
33.93,11.1
34.01,12.3
34.10,11.0
34.19,12.2
34.27,12.3
34.35,12.0
34.44,11.8
34.52,12.0
34.60,12.3
34.68,12.2
34.76,12.4
34.85,11.1
34.93,12.8
35.01,12.7
35.10,11.4
35.18,12.8
35.25,13.0
35.33,13.0
35.41,12.6
35.49,12.1
35.58,11.9
35.66,12.4
35.74,12.3
35.83,10.9
35.91,11.9
35.99,12.7
36.08,12.1
36.15,12.6
36.25,11.1
36.33,11.6
36.41,12.3
36.51,9.9
36.60,11.6
36.68,12.7
36.78,9.7
36.88,9.9
36.96,12.3
37.04,13.1
37.12,12.9
37.20,12.8
37.28,11.8
37.36,12.4
37.44,12.6
37.52,12.7
37.60,12.4
37.68,12.3
37.77,12.0
37.85,12.3
37.93,11.8
38.02,11.8
38.10,12.0
38.18,12.1
38.27,11.7
38.34,13.0
38.42,12.5
38.50,12.8
38.58,12.3
38.66,13.0
38.74,13.2
38.82,12.0
38.90,12.2
38.99,11.9
39.07,11.6
39.16,11.7
39.24,11.9
39.33,11.2
39.42,11.3
39.51,11.5
39.59,11.5
39.68,11.3
39.77,11.5
39.86,10.8
39.95,10.6
40.04,11.3
40.19,6.8
40.28,10.7
40.37,11.0
40.48,9.8
40.58,9.9
40.68,9.9
40.79,9.1
40.89,10.2
40.98,10.2
41.08,10.2
41.18,10.3
41.28,10.2
41.37,10.5
41.47,10.7
41.61,6.9
41.71,9.8
41.80,11.2
41.90,10.6
41.99,10.6
42.09,10.5
42.18,10.8
42.27,10.5
42.37,10.4
42.46,10.9
42.56,10.8
42.65,10.8
42.74,10.4
42.85,9.6
42.95,9.7
43.05,10.0
43.15,10.1
43.25,10.3
43.39,7.0
43.48,11.0
43.57,10.8
43.68,9.6
43.80,8.3
43.93,7.8
44.06,7.7
44.15,10.6
44.24,11.6
44.33,11.3
44.42,11.1
44.51,11.2
44.60,10.8
44.69,10.6
44.79,10.4
44.88,10.7
44.97,10.9
45.06,11.6
45.15,11.4
45.24,10.9
45.34,10.5
45.43,10.7
45.53,10.3
45.62,10.7
45.71,11.0
45.83,8.3
45.93,10.2
46.02,10.5
46.12,10.3
46.21,10.9
46.33,8.7
46.42,11.1
46.51,10.2
46.63,8.3
46.72,11.2
46.82,10.9
46.90,11.2
47.00,10.8
47.09,10.6
47.18,10.9
47.28,10.9
47.37,10.9
47.46,11.2
47.55,11.0
